session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,user_rating,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
session_090073,user_09405,movie_0160,10/24/24,Laptop,67.8,75.2,started,HD,USA,False,,michael55@example.com,Marcia,Martin,,Female,Canada,Newfoundland and Labrador,Kathleenmouth,Premium,2024-07-10,True,19.53,Gaming Console,2.0,2024-10-17 22:06:22.735646,Love Journey,Movie,Comedy,,2016,10.0,R,Italian,Canada,6.6,9355608.0,738634327.0,,,False,2023-08-19,False
session_030488,user_08484,movie_0767,3/25/25,Laptop,55.1,87.9,stopped,4K,USA,False,,heather70@example.com,James,Payne,38.0,Male,USA,Tennessee,Sextonburgh,Basic,2022-10-09,False,27.4,Mobile,2.0,2024-05-04 11:06:18.797741,Old Fire,Movie,Mystery,,2007,94.0,TV-14,English,USA,6.9,1521182.0,,,,False,2023-07-27,False
session_058679,user_01131,movie_0114,4/18/25,Desktop,,,paused,4K,USA,False,,ruth45@example.org,Laura,Coleman,37.0,Male,USA,Ohio,Hendrixville,Basic,2023-02-17,True,64.82,Smart TV,3.0,2024-07-02 08:29:36.801214,Journey King,TV Series,Animation,Mystery,2008,46.0,TV-PG,English,India,9.7,,,9.0,48.0,False,2022-10-24,False
session_052211,user_05560,movie_0064,12/13/24,Smart TV,5.4,20.0,stopped,SD,USA,False,,hernandeztammy@example.net,Maria,Reid,31.0,Other,USA,Tennessee,Graceshire,Premium+,2025-04-13,True,13.38,Tablet,2.0,2023-05-14 12:43:25.922758,Last City,Documentary,Animation,Crime,1994,115.0,TV-PG,Japanese,South Korea,5.8,,,,,False,2021-07-03,False
session_071767,user_04908,movie_0411,9/25/25,Laptop,25.9,33.6,completed,4K,USA,False,,garciamichael@example.net,Candace,Rhodes,29.0,Female,Canada,Alberta,New Williamborough,Premium,2025-05-07,True,19.16,Tablet,4.0,2023-11-13 05:55:47.651862,Dream Dream,Movie,Music,Romance,2013,126.0,TV-Y,Japanese,USA,,,5867475.0,,,False,2025-03-15,True
session_086402,user_02343,movie_0737,11/3/25,Desktop,107.7,49.4,paused,4K,USA,False,,brucerobinson@example.org,Michele,Hernandez,35.0,Female,USA,Florida,Port Chadfurt,Basic,2024-09-26,True,7.02,Smart TV,1.0,2024-09-28 02:14:12.133187,Legend Love,Movie,Comedy,,2024,117.0,TV-Y7,Spanish,USA,6.3,3778470.0,57571931.0,,,False,2021-05-31,False
session_043650,user_00601,movie_0860,8/20/24,Tablet,21.1,19.3,started,SD,USA,False,,hdunn@example.com,Penny,Bell,33.0,Other,USA,Indiana,Hullbury,Premium+,2022-11-10,True,30.84,Tablet,2.0,2023-04-08 22:29:06.886844,Our Love,Stand-up Comedy,Animation,,2020,40.0,TV-14,English,USA,,,,,,False,2021-05-06,False
session_065336,user_06924,movie_0417,1/9/25,Mobile,,11.0,started,HD,USA,False,,apatton@example.net,Joshua,Smith,39.0,Female,USA,Virginia,Lake Sandra,Basic,2023-09-28,True,3.31,Laptop,1.0,2025-06-29 05:19:01.438856,Dragon Day,Documentary,Western,,2011,91.0,PG-13,English,USA,5.4,,,,,False,2023-06-07,False
session_078236,user_07231,movie_0278,4/26/25,Laptop,,77.8,paused,4K,Canada,False,,mirandashawna@example.net,Jacob,Jones,22.0,Prefer not to say,USA,Pennsylvania,Franklinmouth,Basic,2024-02-22,False,25.04,Tablet,,2024-12-29 13:39:19.507417,Dragon Storm,TV Series,Documentary,,2023,63.0,TV-MA,Hindi,USA,6.6,,,9.0,50.0,False,2024-06-09,False
session_088549,user_00759,movie_0820,11/9/25,Tablet,,42.5,started,HD,USA,False,,vhopkins@example.net,David,Navarro,31.0,Male,USA,Illinois,Oscarfort,Premium,2023-10-01,True,9.92,Desktop,2.0,2024-09-04 15:06:44.150274,Fire Phoenix,TV Series,Fantasy,,1993,53.0,TV-Y,French,UK,,,,12.0,178.0,False,2020-12-02,False
session_013082,user_05368,movie_0075,4/6/24,Laptop,6.4,,started,4K,USA,False,5.0,omckenzie@example.org,Donald,Shelton,46.0,Female,USA,Washington,Jessicaview,Basic,2024-03-27,False,4.48,Gaming Console,5.0,2022-10-31 22:00:22.009297,War Hero,TV Series,Animation,Crime,2016,18.0,TV-PG,English,USA,6.5,,,1.0,177.0,False,2023-04-21,True
session_048514,user_05597,movie_0983,8/26/25,Laptop,,3.2,stopped,4K,USA,False,5.0,wardjennifer@example.com,Henry,Harrell,39.0,Male,Canada,Quebec,Port Brandon,Premium,2023-10-22,True,4.12,Desktop,4.0,2025-07-24 00:19:14.789847,Day Legend,Movie,Action,Romance,2002,61.0,R,Japanese,Canada,9.4,11539630.0,248879.0,,,False,2022-03-13,False
session_000323,user_01817,movie_0515,8/22/24,Smart TV,36.4,28.8,paused,HD,USA,False,,jeremy49@example.net,Michael,Cervantes,,Female,USA,Texas,Lake Alyssahaven,Premium+,2025-02-05,True,12.81,Tablet,2.0,2024-02-14 18:56:28.416008,Secret House,TV Series,Sci-Fi,,2006,30.0,TV-G,English,Canada,,,,11.0,58.0,False,2021-03-22,False
session_028132,user_04892,movie_0599,1/31/25,Tablet,29.2,6.3,started,HD,USA,False,,susan70@example.net,Bryan,Diaz,13.0,Female,USA,Texas,Angelatown,Standard,2023-10-08,True,13.85,Smart TV,2.0,2025-01-28 09:52:57.300038,Quest War,Documentary,Thriller,,1994,89.0,TV-14,English,USA,4.9,,,,,False,2022-02-26,False
session_066838,user_00590,movie_0750,5/13/24,Laptop,96.7,80.2,completed,HD,Canada,False,,ywilson@example.org,Austin,Williams,37.0,Male,USA,Tennessee,South Nicole,Standard,2023-06-01,True,9.05,Desktop,4.0,2023-08-30 01:28:57.650421,City Dream,TV Series,History,Romance,2021,17.0,TV-Y,English,USA,5.1,,,9.0,97.0,True,2024-03-03,False
session_051063,user_01610,movie_0660,6/16/24,Tablet,,36.8,started,4K,USA,False,,hguerra@example.net,Amanda,Johnson,55.0,Female,Canada,Alberta,South Shawnaside,Premium,2023-10-22,True,10.1,Gaming Console,2.0,2024-09-16 12:50:38.666051,Fire Secret,Movie,Adventure,,1990,121.0,PG-13,English,South Korea,8.6,,3300259.0,,,True,2023-12-04,False
session_043956,user_02143,movie_0722,12/31/24,Smart TV,16.5,42.7,started,HD,USA,False,,clarkclaudia@example.com,Carol,Yang,,,USA,Pennsylvania,New Desireestad,Premium,2023-02-16,True,8.36,Laptop,4.0,2025-03-23 22:27:48.381484,Battle Mission,TV Series,Romance,,2024,15.0,TV-MA,Japanese,USA,5.6,,,3.0,185.0,True,2022-07-13,False
session_091614,user_09395,movie_0823,8/10/24,Tablet,57.8,53.1,paused,SD,Canada,False,,abigail89@example.com,Tammy,Villa,40.0,Female,Canada,New Brunswick,North John,Premium,2023-10-20,True,56.12,Desktop,1.0,2022-12-19 18:56:51.265532,Adventure Ice,Movie,Comedy,,1992,87.0,TV-PG,English,UK,,527595.0,,,,False,2022-01-15,False
session_014317,user_01700,movie_0604,5/19/24,Tablet,189.9,54.7,completed,HD,USA,False,,tyler17@example.com,Lauren,Gilbert,33.0,Male,USA,Florida,West Joshuaton,Premium,2023-03-21,True,21.66,Tablet,2.0,2024-02-05 13:31:41.425765,Empire War,TV Series,Western,,2019,42.0,TV-MA,English,USA,5.4,,,14.0,112.0,False,2021-08-22,True
session_098952,user_03353,movie_0908,6/22/25,Laptop,,39.3,completed,HD,Canada,False,,yyoder@example.net,Suzanne,Rowe,48.0,Male,USA,New York,Port Jefffort,Standard,2023-12-21,True,9.25,Desktop,3.0,2023-09-19 07:57:58.070507,Love War,Movie,Sport,,1990,86.0,TV-Y,English,USA,6.2,4103654.0,6858445.0,,,False,2021-06-13,False
session_060665,user_09913,movie_0739,6/20/24,Laptop,27.2,81.5,started,HD,USA,False,,wwilliams@example.net,Whitney,Cox,14.0,Prefer not to say,USA,Virginia,Thompsonbury,Premium,2025-06-16,False,2.05,Smart TV,3.0,2024-09-30 08:33:29.658662,Love Warrior,Movie,Action,,2020,121.0,NC-17,Japanese,UK,7.1,3121206.0,3827361.0,,,True,2024-11-14,False
session_022769,user_05462,movie_0602,6/30/25,Tablet,22.3,50.0,started,HD,Canada,False,2.0,patricia75@example.com,Wendy,Parrish,53.0,Male,USA,California,Reginaland,Premium+,2025-05-30,True,15.05,Desktop,2.0,2024-09-29 17:40:34.178272,Queen Family,Movie,Mystery,Sci-Fi,2012,70.0,TV-14,Japanese,Japan,,,3500926.0,,,True,2020-12-15,False
session_019470,user_07217,movie_0697,7/15/24,Laptop,59.2,51.9,paused,HD,USA,True,,howardelizabeth@example.net,Colleen,Wolf,,Male,USA,Virginia,Tiffanyville,Premium,2023-02-27,True,2.94,Gaming Console,4.0,2023-03-12 23:56:02.512371,Journey Fire,TV Series,Music,,2015,38.0,TV-MA,Italian,South Korea,4.0,,,5.0,65.0,False,2020-08-15,False
session_064112,user_00551,movie_0219,9/20/24,Desktop,30.1,85.0,completed,HD,USA,True,,bankschristina@example.com,Tyler,Schultz,28.0,Male,USA,Ohio,Melissaborough,Standard,2024-11-30,True,14.9,Mobile,3.0,2022-12-06 12:45:35.447014,Bright Adventure,Movie,Comedy,,2021,102.0,NC-17,English,Canada,7.1,1852812.0,323259.0,,,True,2025-03-09,False
session_057673,user_09982,movie_0848,10/25/25,Desktop,,,stopped,HD,USA,False,,kcombs@example.org,Lauren,Morgan,26.0,Female,USA,Maryland,Vargasville,Basic,2023-11-29,True,5.64,Desktop,3.0,2023-04-11 23:37:01.920176,Dark Fire,Limited Series,Biography,Biography,2014,61.0,NC-17,French,USA,3.8,,,5.0,55.0,True,2021-12-16,False
session_015794,user_01631,movie_0186,11/11/24,Desktop,42.0,,started,HD,USA,False,1.0,bassandre@example.org,Katherine,Bell,38.0,Other,Canada,Manitoba,West Tracyfurt,Standard,2022-11-05,True,15.98,Laptop,4.0,2022-10-31 01:24:17.234178,Old House,TV Series,Comedy,,1999,70.0,TV-G,English,USA,,,,9.0,151.0,False,2024-03-08,True
session_014774,user_05017,movie_0386,10/17/25,Laptop,57.5,77.7,stopped,HD,USA,True,,andersonjoseph@example.org,Lisa,Taylor,40.0,Prefer not to say,USA,Missouri,Vanessaview,Basic,2024-10-03,True,,Mobile,2.0,2024-06-24 11:46:56.323115,Hero Hero,Stand-up Comedy,War,Adventure,2015,42.0,PG,English,USA,8.6,,,,,False,2020-10-11,False
session_039801,user_01517,movie_0077,6/23/25,Mobile,30.9,18.8,paused,HD,USA,False,,loganjudy@example.org,Donald,Peterson,48.0,Other,Canada,Prince Edward Island,Parkerland,Standard,2022-08-27,True,7.61,Smart TV,,2025-05-04 15:10:51.029359,Our Battle,TV Series,War,History,2018,26.0,TV-14,English,USA,6.4,,,5.0,95.0,True,2024-12-03,False
session_020399,user_08524,movie_0041,3/31/24,Smart TV,34.0,49.6,completed,4K,USA,True,,casejessica@example.org,Robert,Holland,,Female,USA,Wisconsin,South Maryfort,Standard,2023-07-05,True,12.7,Gaming Console,3.0,2024-05-24 09:01:04.105819,Kingdom War,Documentary,Biography,Sport,2003,83.0,TV-14,English,USA,,,,,,False,2023-03-23,False
session_088201,user_05344,movie_0734,9/3/25,Mobile,41.0,79.4,paused,HD,USA,False,,scottangelica@example.com,Stephanie,Davis,55.0,Male,USA,California,West Jamesberg,Standard,2022-10-18,True,11.72,Mobile,,2024-12-07 18:58:17.178931,Queen Warrior,TV Series,Adventure,,2017,62.0,TV-Y7,English,Canada,6.5,,,3.0,64.0,False,2024-08-15,False
session_065293,user_08270,movie_0929,5/19/24,Desktop,,68.4,started,HD,USA,False,2.0,chasewalton@example.net,Shelley,Carter,10.0,Male,Canada,Nova Scotia,Youngtown,Premium,2024-07-18,True,5.04,Laptop,6.0,2024-05-04 23:01:22.866263,Fire King,Movie,Adventure,,2001,144.0,G,English,USA,6.4,6055248.0,54612.0,,,False,2023-01-26,False
session_084712,user_02147,movie_0153,1/11/24,Tablet,80.7,30.0,completed,HD,USA,False,,kfoley@example.org,Dorothy,Byrd,45.0,Female,USA,New York,South Lukemouth,Premium+,2023-04-12,True,22.28,Mobile,3.0,2023-07-06 18:35:17.311938,Phoenix Dragon,Movie,Animation,,2007,148.0,NC-17,Spanish,USA,7.8,1445488.0,,,,True,2024-01-30,False
session_073355,user_02235,movie_0205,9/28/24,Mobile,71.9,86.5,stopped,4K,USA,False,,sara62@example.com,Jesse,Cline,48.0,Female,Canada,Prince Edward Island,Rodriguezmouth,Premium,2024-05-13,True,9.81,Smart TV,1.0,2023-10-09 12:14:01.175396,Adventure Legend,TV Series,Drama,Adventure,2021,73.0,R,Japanese,USA,6.5,,,2.0,109.0,False,2020-11-18,False
session_073538,user_04312,movie_0677,11/13/25,Laptop,97.3,81.8,paused,Ultra HD,USA,False,,kristen65@example.com,Pamela,Brock,27.0,Male,USA,Texas,Milestown,Standard,2022-12-05,True,9.12,Gaming Console,,2024-05-31 14:21:22.589589,Legend Journey,Stand-up Comedy,Adventure,Crime,1991,74.0,TV-MA,Italian,UK,7.7,,,,,False,2021-03-03,False
session_003887,user_02473,movie_0629,8/17/25,Desktop,14.2,81.5,stopped,4K,USA,False,,olynch@example.net,Rebecca,David,24.0,,USA,Florida,Port Ivan,Basic,2024-07-10,True,17.87,Mobile,2.0,2023-05-30 04:23:01.320244,Adventure Secret,Documentary,Adventure,,1999,104.0,TV-MA,Japanese,USA,8.2,,,,,True,2023-11-14,False
session_043057,user_08932,movie_0408,8/11/24,Desktop,59.1,93.5,stopped,HD,USA,False,,sdickerson@example.com,Connie,Nelson,39.0,,USA,California,Hunttown,Basic,2022-08-24,True,0.98,Tablet,1.0,2023-11-27 13:06:29.596801,Adventure Love,Stand-up Comedy,Music,,2008,43.0,R,English,Canada,7.8,,,,,False,2023-10-20,True
session_059568,user_04151,movie_0213,1/23/24,Desktop,,14.3,paused,HD,USA,False,,amber11@example.com,Allison,Sanchez,7.0,Male,USA,Michigan,North Jason,Premium+,2023-03-08,True,,Tablet,6.0,2024-04-23 21:42:30.457087,Queen House,TV Series,Fantasy,,2015,44.0,PG,English,Canada,7.9,,,10.0,115.0,True,2025-03-15,False
session_030144,user_04927,movie_0243,12/11/25,Tablet,6.7,89.6,completed,4K,USA,True,,fallison@example.net,Paul,Zuniga,70.0,Male,USA,Missouri,West Amandahaven,Premium+,2023-09-05,True,19.46,Desktop,3.0,2023-02-20 07:42:39.241717,New Quest,Movie,Comedy,,1997,147.0,TV-MA,Italian,USA,6.9,1340534.0,7497976.0,,,True,2022-12-11,False
session_014425,user_01474,movie_0507,8/15/25,Tablet,38.1,43.8,stopped,Ultra HD,USA,False,,robertmartinez@example.org,Theodore,Adams,,Female,USA,Georgia,West Hannahton,Basic,2024-01-05,True,6.36,Laptop,1.0,2024-05-23 00:15:40.408324,Old Empire,Movie,Thriller,,1991,118.0,PG-13,Spanish,USA,4.9,5168542.0,23957389.0,,,False,2025-06-14,True
session_096386,user_02665,movie_0219,4/1/25,Mobile,,81.2,completed,4K,USA,False,,asummers@example.org,Matthew,Branch,51.0,Male,Canada,Nova Scotia,New Paulborough,Premium,2023-09-04,True,4.99,Smart TV,3.0,2024-07-21 00:15:15.018811,Bright Adventure,Movie,Comedy,,2021,102.0,NC-17,English,Canada,7.1,1852812.0,323259.0,,,True,2025-03-09,False
session_009983,user_05498,movie_0027,3/26/25,Laptop,46.7,53.1,stopped,SD,USA,False,4.0,qgarcia@example.org,Jeanne,Andrews,32.0,Female,USA,Florida,Wallacestad,Standard,2023-02-21,True,18.38,Tablet,4.0,2025-03-30 11:59:25.144305,House House,Stand-up Comedy,Western,,2012,60.0,PG-13,English,South Korea,7.0,,,,,True,2021-09-19,False
session_012156,user_07472,movie_0398,1/17/25,Desktop,47.9,94.7,started,SD,USA,False,5.0,soliselizabeth@example.org,Brandon,Jackson,39.0,,USA,Massachusetts,Briannaport,Premium+,2025-02-15,True,14.13,Gaming Console,3.0,2024-05-15 05:55:11.820478,Hero Story,Movie,Animation,,1997,101.0,R,English,South Korea,5.5,20876719.0,,,,False,2023-09-28,False
session_058887,user_06275,movie_0243,6/15/25,Tablet,212.5,14.5,paused,4K,Canada,False,,arich@example.org,Leslie,Olson,,Female,Canada,Newfoundland and Labrador,Rangelshire,Premium,2025-02-04,True,12.01,Mobile,7.0,2022-08-18 12:20:38.688898,New Quest,Movie,Comedy,,1997,147.0,TV-MA,Italian,USA,6.9,1340534.0,7497976.0,,,True,2022-12-11,False
session_008013,user_06862,movie_0080,5/16/24,Laptop,25.5,0.6,started,4K,Canada,False,,sethwright@example.net,Thomas,Scott,37.0,,Canada,British Columbia,Smithport,Premium,2023-07-04,True,13.14,Tablet,1.0,2023-07-11 07:09:51.401836,Day Queen,Movie,Documentary,Documentary,2014,89.0,TV-Y,English,USA,7.8,5453306.0,32981493.0,,,False,2022-12-26,False
session_071631,user_01113,movie_0095,2/9/25,Mobile,49.7,33.8,started,HD,USA,False,,vgreen@example.org,Robert,Smith,,Male,Canada,Saskatchewan,Roseton,Standard,2023-03-23,True,6.12,Tablet,1.0,2024-09-30 05:05:41.244182,Legend Storm,TV Series,Fantasy,,2003,32.0,TV-MA,English,USA,3.6,,,9.0,76.0,True,2025-05-06,False
session_038234,user_09918,movie_0192,5/15/24,Laptop,39.9,25.2,paused,HD,USA,False,,manderson@example.net,John,Nelson,50.0,Female,USA,Missouri,Timothyport,Premium,2023-05-02,False,6.93,Gaming Console,2.0,2023-02-10 10:16:40.954384,Family Queen,Movie,Comedy,Horror,2021,127.0,PG,Korean,Canada,6.1,52114579.0,24037884.0,,,False,2020-09-10,False
session_057534,user_05784,movie_0485,5/12/25,Smart TV,26.8,32.9,started,4K,Canada,False,,miguel25@example.org,Charles,Hughes,35.0,Male,USA,Texas,New Tony,Premium,2024-04-17,True,17.3,Tablet,1.0,2024-01-15 03:35:48.161762,Bright Queen,Movie,Drama,,1998,133.0,NC-17,French,USA,7.8,3337484.0,33861358.0,,,False,2023-11-06,False
session_008027,user_01700,movie_0981,4/11/24,Desktop,55.7,22.4,stopped,4K,USA,False,,tyler17@example.com,Lauren,Gilbert,33.0,Male,USA,Florida,West Joshuaton,Premium,2023-03-21,True,21.66,Tablet,2.0,2024-02-05 13:31:41.425765,First Dragon,Movie,Biography,,2008,90.0,TV-14,English,India,5.4,,144443940.0,,,True,2025-02-07,False
session_094311,user_02026,movie_0342,7/31/24,Desktop,14.4,99.1,paused,4K,Canada,False,,hebertjohn@example.com,Erika,Tate,42.0,Male,USA,Georgia,East Toddburgh,Premium,2022-12-13,True,9.84,Tablet,6.0,2024-01-15 07:07:05.964982,Adventure Story,Movie,Biography,,2001,103.0,TV-Y7,English,USA,7.4,1502147.0,123063274.0,,,False,2023-07-03,False
session_086086,user_08787,movie_0321,12/1/25,Laptop,34.6,47.1,completed,HD,Canada,False,4.0,katherineayers@example.org,Karen,Poole,28.0,Male,USA,Tennessee,Potterbury,Premium,2024-08-21,True,19.76,Smart TV,6.0,2025-02-17 09:15:40.407374,First Family,Stand-up Comedy,Comedy,,2014,534.0,TV-MA,English,Germany,,,,,,False,2024-03-24,True
session_097488,user_01737,movie_0645,12/15/24,Desktop,105.6,76.1,completed,HD,Canada,False,,russell71@example.com,Kayla,Brown,,Female,USA,California,Reedberg,Premium+,2024-09-15,False,48.18,Gaming Console,4.0,2023-01-16 15:30:21.015718,Last Secret,Stand-up Comedy,Adventure,Mystery,1991,62.0,TV-G,Korean,France,1.8,,,,,True,2022-11-07,True
session_084156,user_09134,movie_0938,1/21/24,Mobile,27.6,75.7,stopped,HD,Canada,False,,nancythomas@example.net,Misty,Olson,35.0,Female,USA,Michigan,East Emilyland,Premium,2025-04-17,True,14.05,Desktop,,2022-08-18 20:27:38.340633,Old House,Movie,Crime,War,1995,116.0,R,English,USA,1.7,6877911.0,65073829.0,,,True,2021-04-05,True
session_084530,user_00430,movie_0782,5/15/24,Smart TV,,,started,HD,USA,False,3.0,amandahenderson@example.net,Bobby,Woodward,16.0,Male,USA,Pennsylvania,North Brian,Premium,2023-05-28,True,19.57,Gaming Console,1.0,2025-02-07 21:56:09.219398,Last Princess,Movie,Crime,,2020,98.0,R,Hindi,France,8.0,,131032034.0,,,True,2023-12-21,True
